video_name,from_location,to_location,from_chunks_count,to_chunks_count,transition_chunk,from_start_chunk,from_end_chunk,to_start_chunk,from_video_path,to_video_path
00420001_2024-06-28_1_8910b3e4ad,kitchen,outside,30,10,30,0,29,30,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_029.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_030.mp4
00420001_2024-06-28_1_8910b3e4ad,outside,bedroom,19,16,40,30,39,40,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_039.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_040.mp4
00420001_2024-06-28_1_8910b3e4ad,bedroom,living room,31,15,56,40,55,56,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_055.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00420001_2024-06-28_1_8910b3e4ad_processed/00420001_2024-06-28_1_8910b3e4ad_processed_056.mp4
00430001_2024-11-15_1_ff20f84763,dining room,kitchen,7,68,9,5,8,9,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00430001_2024-11-15_1_ff20f84763_processed/00430001_2024-11-15_1_ff20f84763_processed_008.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00430001_2024-11-15_1_ff20f84763_processed/00430001_2024-11-15_1_ff20f84763_processed_009.mp4
00680001_2023-05-13_3_1858c08f1f,playroom,garage,11,6,32,26,31,32,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_031.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_032.mp4
00680001_2023-05-13_3_1858c08f1f,closet,car,5,6,41,38,40,41,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_040.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_041.mp4
00680001_2023-05-13_3_1858c08f1f,playroom,garage,5,15,51,48,50,51,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_050.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00680001_2023-05-13_3_1858c08f1f_processed/00680001_2023-05-13_3_1858c08f1f_processed_051.mp4
00720001_2024-01-22_2_0d145210b5,kitchen,living room,5,27,47,44,46,47,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00720001_2024-01-22_2_0d145210b5_processed/00720001_2024-01-22_2_0d145210b5_processed_046.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00720001_2024-01-22_2_0d145210b5_processed/00720001_2024-01-22_2_0d145210b5_processed_047.mp4
00820001_2023-05-06_1_a65890af27,bedroom,playroom,5,20,15,12,14,15,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_014.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_015.mp4
00820001_2023-05-06_1_a65890af27,hallway,living room,7,5,39,35,38,39,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_038.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_039.mp4
00820001_2023-05-06_1_a65890af27,hallway,playroom,5,7,47,44,46,47,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_046.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_047.mp4
00820001_2023-05-06_1_a65890af27,playroom,kitchen,13,11,54,47,53,54,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_053.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_054.mp4
00820001_2023-05-06_1_a65890af27,kitchen,playroom,21,22,65,54,64,65,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_064.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-06_1_a65890af27_processed/00820001_2023-05-06_1_a65890af27_processed_065.mp4
00820001_2023-05-11_2_0178226b6b,living room,kitchen,29,19,45,30,44,45,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-11_2_0178226b6b_processed/00820001_2023-05-11_2_0178226b6b_processed_044.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-11_2_0178226b6b_processed/00820001_2023-05-11_2_0178226b6b_processed_045.mp4
00820001_2023-05-11_2_0178226b6b,kitchen,living room,37,9,64,45,63,64,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-11_2_0178226b6b_processed/00820001_2023-05-11_2_0178226b6b_processed_063.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00820001_2023-05-11_2_0178226b6b_processed/00820001_2023-05-11_2_0178226b6b_processed_064.mp4
01480001_2023-08-06_2_14cb111c81,outside,playroom,5,8,5,0,4,5,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/01480001_2023-08-06_2_14cb111c81_processed/01480001_2023-08-06_2_14cb111c81_processed_004.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/01480001_2023-08-06_2_14cb111c81_processed/01480001_2023-08-06_2_14cb111c81_processed_005.mp4
01480001_2023-08-06_2_14cb111c81,playroom,outside,15,5,13,5,12,13,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/01480001_2023-08-06_2_14cb111c81_processed/01480001_2023-08-06_2_14cb111c81_processed_012.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/01480001_2023-08-06_2_14cb111c81_processed/01480001_2023-08-06_2_14cb111c81_processed_013.mp4
02140001_2024-01-31_1_aa67dca734,dining room,classroom,7,11,19,15,18,19,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/02140001_2024-01-31_1_aa67dca734_processed/02140001_2024-01-31_1_aa67dca734_processed_018.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/02140001_2024-01-31_1_aa67dca734_processed/02140001_2024-01-31_1_aa67dca734_processed_019.mp4
