location,proposal,from unconstrained,previous run,saycam,bll comments,ts comments,
attic,(-> storage room),1,,,storage room is good,,
balcony,1,1,,,balcony similar to porch/deck?,,
basement,(-> storage room),1,,,storage room is good,,
bathroom,1,1,1,1,1,,
bedroom,1,1,1,1,1,,
car,1,1,1,1,1,,
closet,1,1,1,1,1,,
deck/porch,1,1,1,1,1,maybe just outside?,"feels distinct enough from other kinds of ""outside""?"
dining room,1,1,,,1,,
garage,1,1,1,1,1,,
garden,(-> outside),1,,,"I kinda like garden because it's specific (outside can be, e.g., a desert)",,
gym,(low freq),1,,,Unlikely in the dataset,,
hallway,1,1,1,1,1,,
kitchen,1,1,1,1,1,,
laundry room,1,1,,1,1,,
living room,1,1,1,1,1,,
off property,(-> outside),,,1,Outside,,
office,1,1,,,1,maybe confusable with living room?,also happy to drop this
outside,1,1,1,1,1,,
piano room,(low freq),,,1,Omit,,
playroom,1,1,,,sure,worried that this is confusable with living room,"yes, likely. we can drop this"
stairway,1,,,1,good,,
storage room,1,1,,,,,
yard,(-> outside),1,,,,,
other,1,,,,,,
